,feature,relative_score,score
0,colorCode,0.0,12.142299999999999
1,sizeCode,0.0,24.944200000000002
2,productGroup,0.0,7.0302
3,quantity,0.0,36.4828
4,price,0.0,6.3995000000000015
5,rrp,0.0,18.5286
6,voucherID,0.0,8.309000000000001
7,voucherAmount,0.0,24.964399999999998
8,deviceID,0.0,19.8579
9,paymentMethod,0.0,19.8641
10,t_wsv,0.0,25.5751
11,t_ssv,0.0,29.4259
12,t_isChristmas,0.0,30.100700000000003
13,t_singleItemPrice,0.0,22.381899999999995
14,t_singleItemPrice_diff_rrp,0.0,23.702699999999993
15,t_isGift,0.0,28.161900000000003
16,t_sizeCodeNumerized,0.0,5.751400000000001
17,t_unisize,0.0,21.1521
18,t_isTypePants,0.0,18.5546
19,t_isTypeBelt,0.0,13.4536
20,t_isTypeTop,0.0,1.2782
21,t_reducedPaymentMethod_A,0.0,35.8484
22,t_paymentWithFee_A,0.0,7.0287
23,t_isWeekend_A,0.0,32.6545
24,t_isOneSize_A,0.0,30.0977
25,t_customer_boughtArticleCount,0.0,32.6399
26,t_customer_orderCount,0.0,29.423800000000007
27,t_customer_voucherCount,0.0,19.8641
28,t_customer_avgUnisize,0.0,33.2866
29,t_order_boughtArticleTypeCount,0.0,19.814800000000005
30,t_order_boughtArticleCount,0.0,15.969900000000003
31,t_order_duplicateCount,0.0,28.176000000000002
32,t_order_sameArticlesCount,0.0,21.7427
33,t_order_totalPrice,0.0,25.5779
34,t_order_meanPrice,0.0,28.806600000000003
35,t_order_cheapestPrice,0.0,12.767800000000001
36,t_order_mostExpensivePrice,0.0,3.8310999999999997
37,t_order_totalPrice_diff_voucherAmount,0.0,36.4833
38,t_order_priceStd_A,0.0,24.335300000000004
39,t_order_hasVoucher_A,0.0,28.171100000000006
40,t_order_sameArticlesCount_DiffSize,0.0,31.3683
41,t_order_sameArticlesCount_DiffColor,0.0,17.3148
42,t_article_boughtCountGlobal,0.0,29.4516
43,t_article_availableSizes,0.0,33.925200000000004
44,t_article_availableColors,0.0,14.695900000000002
45,t_article_priceChangeSTD_A,0.0,36.48190000000001
46,t_order_article_sameArticlesCount,0.0,28.828799999999998
47,t_order_article_sameArticlesCount_DiffSize,0.0,36.49040000000001
48,t_order_article_sameArticlesCount_DiffColor,0.0,7.045
49,t_voucher_is10PercentVoucher,0.0,33.2756
50,t_voucher_is15PercentVoucher,0.0,35.85090000000001
51,t_voucher_isGiftVoucher,0.0,10.89
52,t_voucher_isValueVoucher,0.0,32.6434
53,t_unisizeOffset,0.0,10.882800000000001
54,productPrice,0.0,17.2875
55,totalSavings,0.0,21.7502
56,relativeSavings,0.0,16.6137
57,orderYear,0.0,1.2818
58,orderMonth,0.0,25.632599999999996
59,orderDay,0.0,28.173099999999998
60,orderWeekDay,0.0,1.923
61,orderDayOfYear,0.0,4.4788
62,orderWeek,0.0,28.8033
63,orderWeekOfYear,0.0,33.925399999999996
64,orderQuarter,0.0,16.0148
65,orderTotalDay,0.0,8.3078
66,orderSeason,0.0,22.436399999999995
67,orderIsOnGermanHoliday,0.0,35.2045
68,surplusArticleQuantity,0.0,18.5913
69,surplusArticleSizeQuantity,0.0,17.276200000000003
70,surplusArticleColorQuantity,0.0,5.7455
71,totalOrderShare,0.0,33.29070000000001
72,voucherSavings,0.0,36.485200000000006
73,customerAvgUnisize,0.0,15.985700000000003
74,products3DayNeighborhood,0.0,4.4712
75,products7DayNeighborhood,0.0,24.9881
76,products14DayNeighborhood,0.0,37.127700000000004
77,products30DayNeighborhood,0.0,24.996599999999997
78,previousOrders,0.0,33.919200000000004
79,sizeReturnProb,0.0,28.1571
80,productGroupReturnProb,0.0,29.467499999999998
81,binnedColorCode,0.0,38.40429999999999
82,colorReturnProb,0.0,28.1868
