,feature,relative_score,score
0,colorCode,0.0,16.6292
1,sizeCode,0.0,35.8037
2,quantity,0.0,25.5562
3,price,0.0,34.527699999999996
4,rrp,0.0,35.17159999999999
5,voucherID,0.0,34.494699999999995
6,voucherAmount,0.0,5.1233
7,deviceID,0.0,16.6459
8,paymentMethod,0.0,11.531300000000002
9,t_wsv,0.0,35.170899999999996
10,t_ssv,0.0,33.23490000000001
11,t_isChristmas,0.0,16.6503
12,t_singleItemPrice,0.0,35.165099999999995
13,t_singleItemPrice_diff_rrp,0.0,36.4266
14,t_isGift,0.0,17.886499999999998
15,t_sizeCodeNumerized,0.0,21.742099999999997
16,t_unisize,0.0,27.507800000000003
17,t_isTypePants,0.0,16.6307
18,t_isTypeBelt,0.0,36.441700000000004
19,t_isTypeTop,0.0,35.799099999999996
20,t_reducedPaymentMethod_A,0.0,31.948599999999995
21,t_paymentWithFee_A,0.0,25.5822
22,t_isWeekend_A,0.0,31.977400000000003
23,t_isOneSize_A,0.0,32.619
24,t_customer_boughtArticleCount,0.0,31.978499999999997
25,t_customer_orderCount,0.0,22.361799999999995
26,t_customer_voucherCount,0.0,20.4557
27,t_customer_avgUnisize,0.0,35.161899999999996
28,t_order_boughtArticleTypeCount,0.0,35.8024
29,t_order_boughtArticleCount,0.0,33.8727
30,t_order_duplicateCount,0.0,30.672100000000004
31,t_order_sameArticlesCount,0.0,8.9499
32,t_order_totalPrice,0.0,35.789899999999996
33,t_order_meanPrice,0.0,14.064799999999998
34,t_order_cheapestPrice,0.0,22.366099999999996
35,t_order_mostExpensivePrice,0.0,10.884400000000003
36,t_order_totalPrice_diff_voucherAmount,0.0,10.2481
37,t_order_priceStd_A,0.0,10.2563
38,t_order_hasVoucher_A,0.0,12.1602
39,t_order_sameArticlesCount_DiffSize,0.0,11.5108
40,t_order_sameArticlesCount_DiffColor,0.0,27.463299999999997
41,t_article_boughtCountGlobal,0.0,35.809
42,t_article_availableSizes,0.0,10.2545
43,t_article_availableColors,0.0,32.599999999999994
44,t_article_priceChangeSTD_A,0.0,31.969199999999997
45,t_order_article_sameArticlesCount,0.0,30.065800000000007
46,t_order_article_sameArticlesCount_DiffSize,0.0,37.7202
47,t_order_article_sameArticlesCount_DiffColor,0.0,6.398
48,t_voucher_is10PercentVoucher,0.0,12.1691
49,t_voucher_is15PercentVoucher,0.0,16.6377
50,t_voucher_isGiftVoucher,0.0,28.7727
51,t_voucher_isValueVoucher,0.0,12.784199999999998
52,t_unisizeOffset,0.0,18.529700000000002
53,productPrice,0.0,23.636899999999994
54,totalSavings,0.0,10.8797
55,relativeSavings,0.0,30.032000000000004
56,orderYear,0.0,31.9499
57,orderMonth,0.0,11.5139
58,orderDay,0.0,37.082699999999996
59,orderWeekDay,0.0,16.6631
60,orderDayOfYear,0.0,35.80819999999999
61,orderWeek,0.0,33.250099999999996
62,orderWeekOfYear,0.0,23.0115
63,orderQuarter,0.0,33.224500000000006
64,orderTotalDay,0.0,28.7675
65,orderSeason,0.0,35.7945
66,orderIsOnGermanHoliday,0.0,33.2442
67,surplusArticleQuantity,0.0,29.436500000000006
68,surplusArticleSizeQuantity,0.0,14.709399999999999
69,surplusArticleColorQuantity,0.0,20.4703
70,totalOrderShare,0.0,35.1618
71,voucherSavings,0.0,35.172
72,customerAvgUnisize,0.0,5.7674
73,products3DayNeighborhood,0.0,31.3075
74,products7DayNeighborhood,0.0,29.399000000000004
75,products14DayNeighborhood,0.0,28.1337
76,products30DayNeighborhood,0.0,1.2871000000000001
77,previousOrders,0.0,31.9703
78,sizeReturnProb,0.0,10.882399999999999
79,binnedColorCode,0.0,27.4842
80,colorReturnProb,0.0,23.6514
