,feature,relative_score,score
0,colorCode,0.0,24.926400000000008
1,sizeCode,0.0,19.1853
2,productGroup,0.0,31.94330000000001
3,quantity,0.0,28.132200000000005
4,price,0.0,35.11090000000001
5,rrp,0.0,33.195
6,voucherID,0.0,2.5264
7,voucherAmount,0.0,28.726
8,deviceID,0.0,24.931200000000008
9,paymentMethod,0.0,37.04820000000002
10,t_wsv,0.0,35.12360000000001
11,t_ssv,0.0,31.308200000000006
12,t_isChristmas,0.0,13.4087
13,t_singleItemPrice,0.0,17.2217
14,t_singleItemPrice_diff_rrp,0.0,12.167399999999999
15,t_isGift,0.0,4.4439
16,t_sizeCodeNumerized,0.0,35.759900000000016
17,t_unisize,0.0,35.76070000000001
18,t_isTypePants,0.0,15.325000000000001
19,t_isTypeBelt,0.0,32.590100000000014
20,t_isTypeTop,0.0,30.049700000000016
21,t_reducedPaymentMethod_A,0.0,23.0149
22,t_paymentWithFee_A,0.0,35.107200000000006
23,t_isWeekend_A,0.0,21.710900000000006
24,t_isOneSize_A,0.0,7.6328
25,t_customer_boughtArticleCount,0.0,36.40640000000002
26,t_customer_orderCount,0.0,15.335100000000002
27,t_customer_voucherCount,0.0,32.566500000000005
28,t_customer_avgUnisize,0.0,9.582900000000002
29,t_order_boughtArticleTypeCount,0.0,6.9873
30,t_order_boughtArticleCount,0.0,6.3247
31,t_order_duplicateCount,0.0,23.653800000000007
32,t_order_sameArticlesCount,0.0,24.894499999999997
33,t_order_totalPrice,0.0,3.1647
34,t_order_meanPrice,0.0,31.248
35,t_order_cheapestPrice,0.0,23.653300000000005
36,t_order_mostExpensivePrice,0.0,3.7901000000000002
37,t_order_totalPrice_diff_voucherAmount,0.0,35.12880000000001
38,t_order_priceStd_A,0.0,35.14260000000001
39,t_order_hasVoucher_A,0.0,4.4432
40,t_order_sameArticlesCount_DiffSize,0.0,4.440100000000001
41,t_order_sameArticlesCount_DiffColor,0.0,25.568900000000006
42,t_article_boughtCountGlobal,0.0,17.9293
43,t_article_availableSizes,0.0,10.1814
44,t_article_availableColors,0.0,35.12880000000001
45,t_article_priceChangeSTD_A,0.0,20.428900000000002
46,t_order_article_sameArticlesCount,0.0,11.457500000000001
47,t_order_article_sameArticlesCount_DiffSize,0.0,25.561600000000006
48,t_order_article_sameArticlesCount_DiffColor,0.0,15.989900000000002
49,t_voucher_is10PercentVoucher,0.0,21.070999999999998
50,t_voucher_is15PercentVoucher,0.0,15.284599999999998
51,t_voucher_isGiftVoucher,0.0,27.463500000000007
52,t_voucher_isValueVoucher,0.0,6.3685
53,t_unisizeOffset,0.0,31.3015
54,productPrice,0.0,32.561600000000006
55,totalSavings,0.0,21.710600000000003
56,relativeSavings,0.0,7.656300000000001
57,orderYear,0.0,38.30360000000001
58,orderMonth,0.0,27.4587
59,orderDay,0.0,6.9985
60,orderWeekDay,0.0,14.004799999999996
61,orderDayOfYear,0.0,36.38600000000002
62,orderWeek,0.0,31.92700000000001
63,orderWeekOfYear,0.0,35.11070000000001
64,orderQuarter,0.0,37.01980000000002
65,orderTotalDay,0.0,36.39610000000002
66,orderSeason,0.0,3.1757999999999997
67,orderIsOnGermanHoliday,0.0,19.153500000000005
68,surplusArticleQuantity,0.0,26.86920000000001
69,surplusArticleSizeQuantity,0.0,4.4401
70,surplusArticleColorQuantity,0.0,37.66940000000002
71,totalOrderShare,0.0,19.176700000000004
72,voucherSavings,0.0,34.49880000000001
73,customerAvgUnisize,0.0,22.978399999999997
74,products3DayNeighborhood,0.0,13.375699999999998
75,products7DayNeighborhood,0.0,31.929800000000007
76,products14DayNeighborhood,0.0,23.015100000000007
77,products30DayNeighborhood,0.0,31.94070000000001
78,previousOrders,0.0,4.427099999999999
79,sizeReturnProb,0.0,30.670300000000005
80,productGroupReturnProb,0.0,28.749100000000002
81,binnedColorCode,0.0,15.9421
82,colorReturnProb,0.0,31.2595
