,feature,relative_score,score
0,colorCode,0.0,17.0388
1,sizeCode,0.0,23.415000000000003
2,quantity,0.0,10.176300000000001
3,price,0.0,19.061200000000003
4,rrp,0.0,34.2888
5,voucherID,0.0,37.4057
6,voucherAmount,0.0,12.001400000000002
7,deviceID,0.0,31.0116
8,paymentMethod,0.0,28.5451
9,t_wsv,0.0,16.3808
10,t_ssv,0.0,34.21950000000001
11,t_isChristmas,0.0,26.581800000000005
12,t_singleItemPrice,0.0,36.758199999999995
13,t_singleItemPrice_diff_rrp,0.0,10.055599999999998
14,t_isGift,0.0,33.00500000000001
15,t_sizeCodeNumerized,0.0,29.180900000000005
16,t_unisize,0.0,34.860800000000005
17,t_isTypePants,0.0,10.703000000000003
18,t_isTypeBelt,0.0,32.3295
19,t_isTypeTop,0.0,9.473899999999999
20,t_reducedPaymentMethod_A,0.0,37.412600000000005
21,t_paymentWithFee_A,0.0,29.1648
22,t_isWeekend_A,0.0,11.367599999999998
23,t_isOneSize_A,0.0,31.7151
24,t_customer_boughtArticleCount,0.0,13.9176
25,t_customer_orderCount,0.0,34.21900000000001
26,t_customer_voucherCount,0.0,10.065299999999997
27,t_customer_avgUnisize,0.0,35.504
28,t_order_boughtArticleTypeCount,0.0,19.041700000000002
29,t_order_boughtArticleCount,0.0,14.5416
30,t_order_duplicateCount,0.0,22.797900000000002
31,t_order_sameArticlesCount,0.0,19.635400000000004
32,t_order_totalPrice,0.0,29.2431
33,t_order_meanPrice,0.0,20.345000000000002
34,t_order_cheapestPrice,0.0,5.6348
35,t_order_mostExpensivePrice,0.0,22.824200000000005
36,t_order_totalPrice_diff_voucherAmount,0.0,15.876700000000001
37,t_order_priceStd_A,0.0,34.8803
38,t_order_hasVoucher_A,0.0,4.4235
39,t_order_sameArticlesCount_DiffSize,0.0,22.146200000000004
40,t_order_sameArticlesCount_DiffColor,0.0,16.451200000000004
41,t_article_boughtCountGlobal,0.0,37.4097
42,t_article_availableSizes,0.0,31.084000000000003
43,t_article_availableColors,0.0,37.40200000000001
44,t_article_priceChangeSTD_A,0.0,36.139900000000004
45,t_order_article_sameArticlesCount,0.0,18.9614
46,t_order_article_sameArticlesCount_DiffSize,0.0,30.392300000000002
47,t_order_article_sameArticlesCount_DiffColor,0.0,9.465500000000002
48,t_voucher_is10PercentVoucher,0.0,32.3468
49,t_voucher_is15PercentVoucher,0.0,35.517300000000006
50,t_voucher_isGiftVoucher,0.0,27.349499999999995
51,t_voucher_isValueVoucher,0.0,17.086399999999998
52,t_unisizeOffset,0.0,29.808200000000003
53,productPrice,0.0,32.95490000000001
54,totalSavings,0.0,32.9644
55,relativeSavings,0.0,18.310100000000002
56,orderYear,0.0,33.01270000000002
57,orderMonth,0.0,33.60280000000001
58,orderDay,0.0,31.7086
59,orderWeekDay,0.0,3.1474
60,orderDayOfYear,0.0,8.2436
61,orderWeek,0.0,17.7532
62,orderWeekOfYear,0.0,23.4938
63,orderQuarter,0.0,22.8961
64,orderTotalDay,0.0,34.238600000000005
65,orderSeason,0.0,36.1357
66,orderIsOnGermanHoliday,0.0,5.080299999999999
67,surplusArticleQuantity,0.0,16.493699999999997
68,surplusArticleSizeQuantity,0.0,10.0543
69,surplusArticleColorQuantity,0.0,34.27700000000001
70,totalOrderShare,0.0,26.5837
71,voucherSavings,0.0,20.888500000000004
72,customerAvgUnisize,0.0,31.665800000000004
73,products3DayNeighborhood,0.0,26.597800000000003
74,products7DayNeighborhood,0.0,18.983500000000003
75,products14DayNeighborhood,0.0,17.670299999999997
76,products30DayNeighborhood,0.0,31.7061
77,previousOrders,0.0,9.4928
78,sizeReturnProb,0.0,36.1253
79,binnedColorCode,0.0,17.655700000000003
80,colorReturnProb,0.0,20.845399999999998
