,feature,relative_score,score
0,colorCode,0.0,21.00390000000001
1,sizeCode,0.0,15.871400000000001
2,productGroup,0.0,35.1718
3,quantity,0.0,31.343600000000013
4,price,0.0,36.412099999999995
5,rrp,0.0,26.152000000000005
6,voucherID,0.0,1.2483
7,voucherAmount,0.0,21.78710000000001
8,deviceID,0.0,5.7346
9,paymentMethod,0.0,37.698199999999986
10,t_wsv,0.0,10.803499999999998
11,t_ssv,0.0,28.831100000000013
12,t_isChristmas,0.0,1.8847999999999998
13,t_singleItemPrice,0.0,33.269000000000005
14,t_singleItemPrice_diff_rrp,0.0,30.670000000000005
15,t_isGift,0.0,24.350700000000007
16,t_sizeCodeNumerized,0.0,26.173200000000005
17,t_unisize,0.0,2.5331
18,t_isTypePants,0.0,1.9042
19,t_isTypeBelt,0.0,15.244100000000005
20,t_isTypeTop,0.0,35.1181
21,t_reducedPaymentMethod_A,0.0,28.11120000000001
22,t_paymentWithFee_A,0.0,27.54560000000001
23,t_isWeekend_A,0.0,12.133199999999999
24,t_isOneSize_A,0.0,9.5154
25,t_customer_boughtArticleCount,0.0,28.737000000000002
26,t_customer_orderCount,0.0,6.3266
27,t_customer_voucherCount,0.0,28.08120000000001
28,t_customer_avgUnisize,0.0,32.58240000000001
29,t_order_boughtArticleTypeCount,0.0,12.696600000000002
30,t_order_boughtArticleCount,0.0,35.784099999999995
31,t_order_duplicateCount,0.0,22.958900000000007
32,t_order_sameArticlesCount,0.0,37.03729999999999
33,t_order_totalPrice,0.0,35.140299999999996
34,t_order_meanPrice,0.0,1.9047999999999998
35,t_order_cheapestPrice,0.0,33.256600000000006
36,t_order_mostExpensivePrice,0.0,30.130800000000004
37,t_order_totalPrice_diff_voucherAmount,0.0,5.7018
38,t_order_priceStd_A,0.0,4.4904
39,t_order_hasVoucher_A,0.0,30.02230000000001
40,t_order_sameArticlesCount_DiffSize,0.0,11.5035
41,t_order_sameArticlesCount_DiffColor,0.0,29.35490000000001
42,t_article_boughtCountGlobal,0.0,3.1622999999999997
43,t_article_availableSizes,0.0,29.461800000000007
44,t_article_availableColors,0.0,35.7701
45,t_article_priceChangeSTD_A,0.0,28.809500000000003
46,t_order_article_sameArticlesCount,0.0,5.7523
47,t_order_article_sameArticlesCount_DiffSize,0.0,37.05529999999999
48,t_order_article_sameArticlesCount_DiffColor,0.0,26.17540000000001
49,t_voucher_is10PercentVoucher,0.0,33.216800000000006
50,t_voucher_is15PercentVoucher,0.0,36.41959999999998
51,t_voucher_isGiftVoucher,0.0,36.44069999999999
52,t_voucher_isValueVoucher,0.0,33.903099999999995
53,t_unisizeOffset,0.0,3.7840000000000003
54,productPrice,0.0,28.77470000000001
55,totalSavings,0.0,8.939900000000002
56,relativeSavings,0.0,24.2224
57,orderYear,0.0,35.77459999999999
58,orderMonth,0.0,1.8653
59,orderDay,0.0,10.755600000000001
60,orderWeekDay,0.0,15.251999999999999
61,orderDayOfYear,0.0,12.0411
62,orderWeek,0.0,4.3669
63,orderWeekOfYear,0.0,19.1145
64,orderQuarter,0.0,18.4834
65,orderTotalDay,0.0,13.446599999999998
66,orderSeason,0.0,15.322
67,orderIsOnGermanHoliday,0.0,14.058199999999998
68,surplusArticleQuantity,0.0,12.1994
69,surplusArticleSizeQuantity,0.0,22.414800000000007
70,surplusArticleColorQuantity,0.0,26.884800000000006
71,totalOrderShare,0.0,35.81869999999999
72,voucherSavings,0.0,36.40299999999999
73,customerAvgUnisize,0.0,2.5162
74,products3DayNeighborhood,0.0,3.1615
75,products7DayNeighborhood,0.0,3.8284000000000002
76,products14DayNeighborhood,0.0,14.7175
77,products30DayNeighborhood,0.0,9.4846
78,previousOrders,0.0,21.162400000000005
79,sizeReturnProb,0.0,15.365500000000004
80,productGroupReturnProb,0.0,6.3718
81,binnedColorCode,0.0,0.6213
82,colorReturnProb,0.0,12.071999999999997
