,feature,relative_score,score
0,colorCode,0.0,9.5599
1,sizeCode,0.0,21.643599999999996
2,quantity,0.0,6.3408
3,price,0.0,7.6319
4,rrp,0.0,15.292900000000001
5,voucherID,0.0,0.0
6,voucherAmount,0.0,8.8982
7,deviceID,0.0,18.4524
8,paymentMethod,0.0,31.194700000000005
9,t_wsv,0.0,9.522499999999999
10,t_ssv,0.0,13.402099999999999
11,t_isChristmas,0.0,27.354699999999998
12,t_singleItemPrice,0.0,12.7693
13,t_singleItemPrice_diff_rrp,0.0,31.801300000000005
14,t_isGift,0.0,32.4808
15,t_sizeCodeNumerized,0.0,3.8073000000000006
16,t_unisize,0.0,6.3376
17,t_isTypePants,0.0,12.6945
18,t_isTypeBelt,0.0,32.4716
19,t_isTypeTop,0.0,2.5465
20,t_reducedPaymentMethod_A,0.0,22.919799999999995
21,t_paymentWithFee_A,0.0,33.735200000000006
22,t_isWeekend_A,0.0,5.0956
23,t_isOneSize_A,0.0,9.525499999999997
24,t_customer_boughtArticleCount,0.0,20.368999999999996
25,t_customer_orderCount,0.0,26.7389
26,t_customer_voucherCount,0.0,1.8943
27,t_customer_avgUnisize,0.0,14.0044
28,t_order_boughtArticleTypeCount,0.0,5.7188
29,t_order_boughtArticleCount,0.0,12.719
30,t_order_duplicateCount,0.0,2.5381
31,t_order_sameArticlesCount,0.0,7.6579999999999995
32,t_order_totalPrice,0.0,12.0961
33,t_order_meanPrice,0.0,10.193800000000001
34,t_order_cheapestPrice,0.0,12.104500000000002
35,t_order_mostExpensivePrice,0.0,19.709799999999998
36,t_order_totalPrice_diff_voucherAmount,0.0,22.9329
37,t_order_priceStd_A,0.0,3.1689999999999996
38,t_order_hasVoucher_A,0.0,4.4433
39,t_order_sameArticlesCount_DiffSize,0.0,29.9312
40,t_order_sameArticlesCount_DiffColor,0.0,24.7912
41,t_article_boughtCountGlobal,0.0,8.8901
42,t_article_availableSizes,0.0,0.6353
43,t_article_availableColors,0.0,21.0148
44,t_article_priceChangeSTD_A,0.0,6.986700000000001
45,t_order_article_sameArticlesCount,0.0,24.7818
46,t_order_article_sameArticlesCount_DiffSize,0.0,22.9073
47,t_order_article_sameArticlesCount_DiffColor,0.0,6.372999999999998
48,t_voucher_is10PercentVoucher,0.0,10.193200000000001
49,t_voucher_is15PercentVoucher,0.0,4.4529000000000005
50,t_voucher_isGiftVoucher,0.0,2.5353000000000003
51,t_voucher_isValueVoucher,0.0,31.8276
52,t_unisizeOffset,0.0,9.5489
53,productPrice,0.0,23.5948
54,totalSavings,0.0,2.527
55,relativeSavings,0.0,6.370699999999999
56,orderYear,0.0,5.0898
57,orderMonth,0.0,14.5917
58,orderDay,0.0,0.0
59,orderWeekDay,0.0,2.5337
60,orderDayOfYear,0.0,29.269000000000005
61,orderWeek,0.0,0.0
62,orderWeekOfYear,0.0,1.9198
63,orderQuarter,0.0,30.528400000000005
64,orderTotalDay,0.0,1.276
65,orderSeason,0.0,15.9141
66,orderIsOnGermanHoliday,0.0,13.9818
67,surplusArticleQuantity,0.0,2.543
68,surplusArticleSizeQuantity,0.0,26.716900000000003
69,surplusArticleColorQuantity,0.0,24.23560000000001
70,totalOrderShare,0.0,35.0063
71,voucherSavings,0.0,20.348800000000004
72,customerAvgUnisize,0.0,5.0722000000000005
73,products3DayNeighborhood,0.0,5.083
74,products7DayNeighborhood,0.0,15.8742
75,products14DayNeighborhood,0.0,24.168999999999997
76,products30DayNeighborhood,0.0,31.815000000000005
77,previousOrders,0.0,12.7126
78,sizeReturnProb,0.0,7.0003
79,binnedColorCode,0.0,0.0
80,colorReturnProb,0.0,26.7073
